Surname,Awards,Education,Dblp
Micali,1,Education information not found,168
Milner,3,"Milner was born in Yealmpton, near Plymouth, England into a military family. He gained a King's Scholarship to Eton College in 1947, and was awarded the Tomline Prize (the highest prize in Mathematics at Eton) in 1952. Subsequently, he served in the Royal Engineers, attaining the rank of Second Lieutenant.  He then enrolled at King's College, Cambridge, graduating in 1957. Milner first worked as a schoolteacher then as a programmer at Ferranti, before entering academia at City University, London, then Swansea University, Stanford University, and from 1973 at the University of Edinburgh, where he was a co-founder of the Laboratory for Foundations of Computer Science (LFCS). He returned to Cambridge as the head of the Computer Laboratory in 1995 from which he eventually stepped down, although he was still at the laboratory. From 2009, Milner was a Scottish Informatics & Computer Science Alliance Advanced Research Fellow and held (part-time) the Chair of Computer Science at the University of Edinburgh. Milner died of a heart attack on 20 March 2010 in Cambridge.[5][11] His wife, Lucy, died shortly before he did.[12]",107
Minker,1,"Minker was born on July 4, 1927[3] in Brooklyn, New York. He received his Bachelor of Arts degree from Brooklyn College in 1949,[3] Master of Arts degree from the University of Wisconsin in 1950,[3] and PhD from the University of Pennsylvania in 1959 for research supervised by Bernard Epstein.[1]",153
Minsky,2,"Marvin Lee Minsky was born in New York City, to an eye surgeon father, Henry, and to a mother, Fannie (Reiser), who was a Zionist activist.[15][16][17] His family was Jewish. He attended the Ethical Culture Fieldston School and the Bronx High School of Science. He later attended Phillips Academy in Andover, Massachusetts. He then served in the US Navy from 1944 to 1945. He received a B.A. in mathematics from Harvard University in 1950 and a Ph.D. in mathematics from Princeton University in 1954. His doctoral dissertation was titled ""Theory of neural-analog reinforcement systems and its application to the brain-model problem.""[18][19][20] He was a Junior Fellow of the Harvard Society of Fellows from 1954 to 1957.[21][22] He was on the MIT faculty from 1958 to his death. He joined the staff at MIT Lincoln Laboratory in 1958, and a year later he and John McCarthy initiated what is, as of 2019[update], named the MIT Computer Science and Artificial Intelligence Laboratory.[23][24]  He was the Toshiba Professor of Media Arts and Sciences, and professor of electrical engineering and computer science.",33
Mitchell,0,Education information not found,19
Mitchell,2,"Mitchell was born in Blossburg, Pennsylvania and grew up in Upstate New York, in the town of Vestal.[5][6] He received his bachelor of Science degree in Electrical Engineering from the Massachusetts Institute of Technology in 1973 and a Ph.D. from Stanford University under the direction of Bruce G. Buchanan in 1979.",253
Mithal,0,Education information not found,1
Mockapetris,10,"Mockapetris graduated from the Boston Latin School in 1966, received his bachelor's degrees in physics and electrical engineering from the Massachusetts Institute of Technology in 1971 and his doctorate in information and computer science from the University of California at Irvine in 1982.[1][2]",0
Moler,5,Education information not found,4
Moller,0,Education information not found,79
Moon,0,"Moon's best subjects in school were Mathematics, Science and English.  After he graduated high school with honors, he enrolled at Pennsylvania State University where he received a degree in mechanical engineering in 1960. After graduating from there he decided to further pursue his education and get his masters from New York University (NYU) where he continued his studies in engineering.",0
Moore,0,Education information not found,5
Moore,0,Education information not found,0
Moore,4,"Gordon Moore was born in 1929 as the second son of Walter Harold Moore (a county sheriff stationed in San Mateo County) and Florence Almira ""Mira"" Williamson (a homemaker).[9] When Moore started school in 1935, the faculty noted his introverted personality.[10] His father accepted a promotion to deputy sheriff in 1938 and moved the family to Redwood City, California.[11] In 1940, Moore received a chemistry set as a Christmas gift, which inspired him to become a chemist.[12] From 1942 to 1946, Moore studied at Sequoia High School, where he was involved in athletic activities.[13] From 1946 to 1947, Moore attended San José State College (now San José State University), studying chemistry.[14] He transferred to University of California, Berkeley in 1948, taking courses from Glenn Seaborg, Melvin Calvin, and William Giauque. He graduated in 1950 with a Bachelor of Science degree in chemistry.[15][16] In September 1950, Moore enrolled at the California Institute of Technology (""Caltech""), where he would ultimately receive a Ph.D. in chemistry in 1954.[17][16][18][19] Moore conducted postdoctoral research at the Applied Physics Laboratory at Johns Hopkins University from 1953 to 1956.[16]",1
Moore,4,Education information not found,86
Moore,2,Education information not found,0
Moravec,0,Education information not found,0
Morgan,0,Education information not found,121
Morris,4,Education information not found,106
Moses,0,Education information not found,23
Motwani,7,"Rajeev Motwani was born in Jammu,  Jammu and Kashmir, India on 24 March 1962, and grew up in New Delhi.[5] His father was in the Indian Army. He had two brothers. As a child, inspired by luminaries like Gauss, he wanted to become a mathematician.
Motwani went to St Columba's School, New Delhi. He completed his B.Tech. in Computer Science from the Indian Institute of Technology Kanpur in Kanpur, Uttar Pradesh in 1983 and got his Ph.D. in Computer Science from the University of California, Berkeley in Berkeley, California, United States in 1988, under the supervision of Richard M. Karp.[1]",1
Mukhanov,1,Education information not found,5
Muggleton,2,Muggleton received his Bachelor of Science degree in computer science (1982) and Doctor of Philosophy in artificial intelligence (1986) supervised by Donald Michie at the University of Edinburgh.[12],0
Müller,0,Education information not found,528
Mycroft,0,Mycroft read mathematics at Cambridge then moved to Edinburgh where he completed his Doctor of Philosophy degree with a thesis on Abstract interpretation and optimising transformations for applicative programs[2] supervised by Rod Burstall and Robin Milner.,122
Myers,4,"Myers received his BS degree in Computer Science and MS degree in Computer Science and Engineering under MIT in 1980, whilst simultaneously interning at Xerox Parc for his Master's thesis. He then received his PhD in Computer Science from the University of Toronto in 1987.",365
Nadin,0,"At the Rhode Island School of Design, Nadin made a name for himself as one of the first proponents, in the nation, of integrating computers in education. He lectured on the topic around the US and consulted for several institutes of higher education (Rochester Institute of Technology, Illinois Institute of Technology, University of Oregon, Hadassah University in Israel, among others) in setting up programs in art and design with computers. Prior to the widespread use of the Internet, Nadin developed several computer-aided educational aids. Docent, a HyperCard based software program, was integrated in the CD-ROM for interactive learning. Both Docent and MetaDocent were first developed for the videodisc medium. MetaDocent gave users the possibility to create individualized image/text files. The indexing of image, sound, navigation, and especially the possibility to produce an individualized record (through an integrated Notebook application) were unique at the time Based on the fact that play is serious work for the very young, Nadin initiated a program in Toy Design at SUNY - Fashion Institute of Technology to train designers to develop the minds of the very young through all the senses. He also insisted on integrating the (then) new digital technology into toys for pre-school and school-age children so that they could experience the possibilities of digital technology beyond mere computer games.",49
Nagao,10,Education information not found,82
Nake,1,Education information not found,29
Nardi,4,Education information not found,0
Naur,3,Education information not found,38
Needham,1,"Needham was born in Birmingham, England, the only child of Phyllis Mary, née Baker (c.1904–1976) and Leonard William Needham (c.1905–1973), a university chemistry lecturer.[7] He attended Doncaster Grammar School for Boys in Doncaster (then in the West Riding) going on to St John's College, Cambridge in 1953, and graduating with a BA in 1956 in mathematics and philosophy.[7] His PhD thesis was on applications of digital computers to the automatic classification and retrieval of documents. He worked on a variety of key computing projects in security, operating systems, computer architecture (capability systems) and local area networks.[1][8]",0
Nell,0,Education information not found,12
Nelson,0,Education information not found,0
Neumann,0,Education information not found,0
Neumann,0,Education information not found,0
Neumann,1,"Von Neumann was born in Budapest, Kingdom of Hungary (then part of the Austro-Hungarian Empire),[13][14][15] on December 28, 1903, to a wealthy, non-observant Jewish family. His birth name was Neumann János Lajos. In Hungarian, the family name comes first, and his given names are equivalent to John Louis in English.[16] He was the eldest of three brothers; his two younger siblings were Mihály (Michael) and Miklós (Nicholas).[17] His father Neumann Miksa (Max von Neumann) was a banker and held a doctorate in law. He had moved to Budapest from Pécs at the end of the 1880s.[18] Miksa's father and grandfather were born in Ond (now part of Szerencs), Zemplén County, northern Hungary. John's mother was Kann Margit (English: Margaret Kann);[19] her parents were Jakab Kann and Katalin Meisels of the Meisels family.[20] Three generations of the Kann family lived in spacious apartments above the Kann-Heller offices in Budapest; von Neumann's family occupied an 18-room apartment on the top floor.[21] On February 20, 1913, Emperor Franz Joseph elevated John's father to the Hungarian nobility for his service to the Austro-Hungarian Empire.[22] The Neumann family thus acquired the hereditary appellation Margittai, meaning ""of Margitta"" (today Marghita, Romania). The family had no connection with the town; the appellation was chosen in reference to Margaret, as was their chosen coat of arms depicting three marguerites. Neumann János became margittai Neumann János (John Neumann de Margitta), which he later changed to the German Johann von Neumann.[23] Von Neumann was a child prodigy who at six years old could divide two eight-digit numbers in his head[24][25] and converse in Ancient Greek.[26] He, his brothers and his cousins were instructed by governesses. Von Neumann's father believed that knowledge of languages other than their native Hungarian was essential, so the children were tutored in English, French, German and Italian.[27] By age eight, von Neumann was familiar with differential and integral calculus, and by twelve he had read Borel's La Théorie des Fonctions.[28] He was also interested in history, reading Wilhelm Oncken's 46-volume world history series Allgemeine Geschichte in Einzeldarstellungen (General History in Monographs).[29] One of the rooms in the apartment was converted into a library and reading room.[30] Von Neumann entered the Lutheran Fasori Evangélikus Gimnázium in 1914.[31] Eugene Wigner was a year ahead of von Neumann at the school and soon became his friend.[32] Although von Neumann's father insisted that he attend school at the grade level appropriate to his age, he agreed to hire private tutors to give von Neumann advanced instruction. At 15, he began to study advanced calculus under the analyst Gábor Szegő.[32] By 19, von Neumann had published two major mathematical papers, the second of which gave the modern definition of ordinal numbers, which superseded Georg Cantor's definition.[33] At the conclusion of his education at the gymnasium, he applied for and won the Eötvös Prize, a national award for mathematics.[34] According to his friend Theodore von Kármán, von Neumann's father wanted John to follow him into industry, and asked von Kármán to persuade his son not to take mathematics.[35] Von Neumann and his father decided that the best career path was chemical engineering. This was not something that von Neumann had much knowledge of, so it was arranged for him to take a two-year, non-degree course in chemistry at the University of Berlin, after which he sat for the entrance exam to  ETH Zurich,[36] which he passed in September 1923.[37] Simultaneously von Neumann entered Pázmány Péter University in Budapest,[38] as a Ph.D. candidate in mathematics. For his thesis, he produced an axiomatization of Cantor's set theory.[39][40] He graduated as a chemical engineer from ETH Zurich in 1926, and simultaneously passed his final examinations summa cum laude for his Ph.D. in mathematics (with minors in experimental physics and chemistry).[41][42]  He then went to the University of Göttingen on a grant from the Rockefeller Foundation to study mathematics under David Hilbert.[43] Hermann Weyl remembers how in the winter of 1926–1927 von Neumann, Emmy Noether, and he would walk through ""the cold, wet, rain-wet streets of Göttingen"" after class discussing hypercomplex number systems and their representations.[44]",10
Newell,21,Education information not found,1
Newman,1,"Newman was born Maxwell Herman Alexander Neumann in Chelsea, London, England, to a Jewish family, on 7 February 1897.[4] His father was Herman Alexander Neumann, originally from the German city of Bromberg (now in Poland), who had emigrated with his family to London at the age of 15.[12] Herman worked as a secretary in a company, and married Sarah Ann Pike, an Irish schoolteacher, in 1896.[1] The family moved to Dulwich in 1903, and Newman attended Goodrich Road school, then City of London School from 1908.[1][13] At school, he excelled in classics and in mathematics. He played chess and the piano well.[14] Newman won a scholarship to study mathematics at St John's College, Cambridge in 1915, and in 1916 gained a First in Part I of the Cambridge Mathematical Tripos.[4]",0
Ng,0,"In 2011, Stanford launched a total of three massive open online course (MOOCs) on machine learning (CS229a), databases, and AI, taught by Ng, Peter Norvig, Sebastian Thrun, and Jennifer Widom.[46][47] This has led to the modern MOOC movement. Ng taught machine learning and Widom taught databases. The course on AI taught by Thrun led to the genesis of Udacity.[46] Coursera was the 6th online education website that Ng built and arguably the most successful to date.[48] But we learned and learned and learned from the early prototypes, until in 2011 we managed to build something that really took off.[48] The seeds of massive open online courses (MOOCs) go back a few years before the founding of Coursera in 2012. Two themes emphasized in the founding of modern MOOCs were scale and availability.[46] Ng started the Stanford Engineering Everywhere (SEE) program, which in 2008 published a number of Stanford courses online for free. Ng taught one of these courses, ""Machine Learning"", which includes his video lectures, along with the student materials used in the Stanford CS229 class. It offered a similar experience to MIT OpenCourseWare, except it aimed at providing a more ""complete course"" experience, equipped with lectures, course materials, problems and solutions, etc. The SEE videos were viewed by the millions and inspired Ng to develop and iterate new versions of online tech.[46] Within Stanford, they include Daphne Koller with her ""blended learning experiences"" and codesigning a peer-grading system, John Mitchell (Courseware, a Learning Management System), Dan Boneh (using machine learning to sync videos, later teaching cryptography on Coursera), Bernd Girod (ClassX), and others. Outside Stanford, Ng and Thrun credit Sal Khan of Khan Academy as a huge source of inspiration. Ng was also inspired by lynda.com and the design of the forums of Stack Overflow.[46] Widom, Ng, and others were ardent advocates of Khan-styled tablet recordings, and between 2009 and 2011, several hundred hours of lecture videos recorded by Stanford instructors were recorded and uploaded. Ng tested some of the original designs with a local high school to figure the best practices for recording lessons.[46] In October 2011, the ""applied"" version of the Stanford class (CS229a) was hosted on ml-class.org and launched, with over 100,000 students registered for its first edition. The course featured quizzes and graded programming assignments and became one of the first and most successful massive open online courses (MOOCs) created by a Stanford professor.[49] Two other courses on databases (db-class.org) and AI (ai-class.org) were launched. The ml-class and db-class ran on a platform developed by students, including Frank Chen, Jiquan Ngiam, Chuan-Yu Foo, and Yifan Mai. Word spread through social media and popular press. The three courses were 10 weeks long, and over 40,000 ""Statements of Accomplishment"" were awarded.[46] Ng tells the following story on the early days of Coursera: In 2011, I was working with four Stanford students. We were under tremendous pressure to build new features for the 100,000+ students that were already signed up. One of the students (Frank Chen) claims another one (Jiquan Ngiam) frequently stranded him in the Stanford building and refused to give him a ride back to his dorm until very late at night so he had no choice but to stick around and keep working. I neither confirm nor deny this story.[48] His work subsequently led to his founding of Coursera with Koller in 2012. As of 2019, the two most popular courses on the platform were taught and designed by Ng: ""Machine Learning"" (#1) and ""Neural Networks and Deep Learning"" (#2). In 2019, Ng launched a new course ""AI for Everyone"". This is a non-technical course designed to help people understand AI's impact on society and its benefits and costs for companies, as well as how they can navigate through this technological revolution.[50]",0
Nilsson,0,"Nilsson was born in Saginaw, Michigan, in 1933.[2] He received his Ph.D. from Stanford in 1958, and spent much of his career at SRI International, a private research lab spun off from Stanford.[2][3] Nilsson served as a lieutenant in the U.S. Air Force from 1958 to 1961; he was stationed at the Rome Air Development Center in Rome, New York.[2][3]",0
Nijssen,0,Education information not found,0
Nipkow,1,Education information not found,219
Nivat,0,"Nivat was born in Clermont-Ferrand, France. His parents were high-school teachers; his father taught languages while his mother taught mathematics. His sister, Aline, became a notable mathematician.[2]
In 1954, Nivat moved with his family to Paris.[2] Nivat was admitted to the École Normale Supérieure in 1956, but began working at the Blaise Pascal Institute of the French National Centre for Scientific Research, a newly established computing laboratory, in 1959.[1][2] He returned to study mathematics in 1961 under the supervision of Marcel-Paul Schützenberger.[1] His 1967 thesis was entitled Transductions des langages de Chomsky (""Transductions of Chomsky Languages"").",110
Nkambule,0,Education information not found,0
Noe,0,"Noe was born in McCloud, California. He received a Bachelor's degree in electrical engineering from the University of California, Berkeley. Stationed in Europe during World War II, he conducted research and development related to radar, before returning to California to complete a Ph.D. in electrical engineering at Stanford University.[1]",0
Nordin,0,Education information not found,44
Norman,1,Education information not found,0
Norvig,0,"Norvig received a Bachelor of Science in applied mathematics from Brown University[8] and a Ph.D. in computer science from the University of California, Berkeley.[3]",41
Novacky,0,"Novacky first received a mathematics degree from Wheeling Jesuit College in 1968.  In 1971, he received his MA in mathematics followed by a PhD in mathematics in 1981.  Both his MA and PhD were from University of Pittsburgh. Novacky's dissertation was Chromaticity of Extremal Graphs.[1] He was an Associate Professor of Mathematics at the Community College of Allegheny County from 1977 to 1985. He has been a faculty member of the University of Pittsburgh's Department of Computer Science since 1985. In 1993, Novacky received The Chancellor's Distinguished Teaching Award.[2]",0
Nygaard,0,Education information not found,21
Odersky,0,Education information not found,142
O'Hearn,2,"O'Hearn attained a BSc degree in computer science from Dalhousie University, Halifax, Nova Scotia (1985), followed by MSc (1987) and PhD (1991) degrees from Queen's University, Kingston, Ontario, Canada. His dissertation was on Semantics of Non-interference: A natural approach, supervised by Robert D. Tennent.[11][18]",0
Olle,0,Education information not found,35
Omohundro,0,"Omohundro has degrees in physics and mathematics from Stanford University (Phi Beta Kappa)[2] and a Ph.D. in physics from the University of California, Berkeley.[3]",5
Ornstein,0,Education information not found,0
O'Sullivan,0,Education information not found,16
Ousterhout,2,Education information not found,0
Overmars,0,Education information not found,0
Owicki,2,Education information not found,0
Page,2,"Page attended Okemos Montessori School (now called Montessori Radmoor) in Okemos, Michigan, from ages 2 to 7 (1975 to 1979). He attended East Lansing High School, graduating in 1991. In summer school, he attended Interlochen Center for the Arts at Interlochen, Michigan, playing flute but mainly saxophone for two summers. Page received a Bachelor of Science with a major in computer engineering with honors from the University of Michigan in 1995 and a Master of Science in computer science from Stanford University in 1998.[33][34][35][36] While at the University of Michigan, Page created an inkjet printer made of Lego bricks (literally a line plotter), after he thought it possible to print large posters cheaply with the use of inkjet cartridges—Page reverse-engineered the ink cartridge and built the electronics and mechanics to drive it.[27] Page served as the president of the Beta Epsilon chapter of the Eta Kappa Nu honor society,[37] and was a member of the 1993 ""Maize & Blue"" University of Michigan Solar Car team.[38] As an undergraduate at the University of Michigan, he proposed that the school replace its bus system with a personal rapid-transit system, which is essentially a driverless monorail with separate cars for every passenger.[10] He also developed a business plan for a company that would use software to build a music synthesizer during this time.[39]",0
Pal,1,"SK Pal studied at the University of Calcutta for his BSc in physics (1969), and BTech (1972) and MTech (1974) in radio physics and electronics. 
He received a PhD in radio physics and electronics from the Rajabazar Science College campus of University of Calcutta in 1979 as a student of Indian Statistical Institute, and another PhD in electrical engineering along with Diploma of the Imperial College from Imperial College, University of London, in 1982. After completing PhD at Imperial College, London as a Commonwealth Scholar, he did post-doctoral research there during 1982 to 1983 as a UK Medical Research Council Fellow. Subsequently, he worked at the University of California, Berkeley and University of Maryland, College Park from 1986 to 1987 as a Fulbright Fellow; NASA Johnson Space Center from 1990 to 1992 and in 1994 as a US NAS-NRC Senior Research Associate; and US Naval Research Laboratory, Washington, D.C. in 2004 as a visiting scientist. Besides, he had been a Distinguished Visitor of IEEE Computer Society (USA) for Asia-Pacific Region since 1997, and held several visiting positions in Australia, Poland, Italy, France, New Zealand, Japan and Hong Kong universities. He established sustained research collaborations in Europe through various European universities including the Warsaw University, Poland (1997-2017); Naples University, Italy (2004-2020) and INSEAD, France (2001-2013), under joint agreements between Nations or Institutes. Pal joined the Indian Statistical Institute (ISI), Kolkata, as a CSIR Senior Research Fellow in 1975, and eventually entered into full professor position in 1987. He then became a distinguished scientist in 1998, the director in 2005, and the president in 2022. He was the first computer scientist as well as someone outside statistics and mathematics to become the director of ISI in its 75-year history. He is also the first ex-employee of ISI being elected to hold the honorable chair of President of ISI since its inception in 1931.[4][5] His areas of research interests include fuzzy sets and uncertainty analysis, artificial neural networks for machine intelligence, pattern recognition, image processing, data mining, granular computing, genetic algorithms, rough sets, and soft computing with applications such as in bioinformatics, video analytics, online social network analysis, and cognitive mind development. He has pioneered hybrid intelligent systems like neuro fuzzy and rough fuzzy hybridization. The generic families of such hybrid intelligent models (networks) developed not only provide enhanced learning, understandability, knowledge mining and uncertainty management in decision-making, but also can explain the network decision in natural language. Besides, rough-fuzzy hybridization enables mining linguistic, categorical, and relational data. All these have led to significant synergistic technological developments in modern AI and data science. His image processing research in 1970s is perhaps the first investigation (other pioneer being A. Rosenfeld, UMD, College Park, USA) that brings out the root relation between the abstract concept of fuzzy sets and image processing tasks & the associated uncertainty involved. Subsequently, definitions for image entropy (mid 1980s) and generalized rough-fuzzy entropy (mid 2000s) based on logarithmic and exponential gain functions are provided for modelling the uncertainty. These measures are unique. Prof. Pal is widely recognized across the world for his pioneering and extraordinary contributions in Machine Intelligence, Fuzzy Logic, Soft Computing and Pattern Recognition. This has made India a leader in these disciplines in international scenario. His other highly cited original/ fundamental research include: i) Unsupervised dimensionality reduction algorithm (in early 2000s) producing maximally independent features, that results in fast and superior performance and is suitable for Big data, ii) Granular computing concept and models particularly when samples are indiscernible; here computations are performed using information granules rather than individual samples, thereby providing gain in both computation and performance in mining tasks, and iii) Z*-number, developed in mid 2010s, for machine subjectivity representation in machine-mind development by encapsulating the objective and subjective time, context, and affect components in natural language of thoughts, speech, and texts. He is a co-author of twenty one books, eighteen conference proceedings, about five hundred and fifty research publications, and two US patents. He has served/serving as editor in most of the well-known scientific journals in computer science and engineering (~25 international journals).[1] He visited more than forty countries as a Keynote/ Invited speaker or academic visitor. He has co-authored with researchers from 48 foreign and 16 Indian institutes. According to Google Scholar, Pal's work had been cited about 37,000 times with h-index of 84. SK Pal is the scientist who introduced the Soft Computing concept and research in India. For his outstanding contributions, the Department of Science and Technology, GoI, established under his leadership the Center for Soft Computing Research (CSCR), first in Asia, in 2004 at ISI, Kolkata. Subsequently, CSCR is declared by the Governing Body of ISI as an Associate Institute of ISI in 2010. Apart from acting as a strong base for nationwide research and training with linkage to industries and premier institutes in India and abroad, CSCR had special provision for funding and mentoring less endowed institutions, including those in North-East regions of India. Machine Intelligence Unit (MIU) founded by him in 1993 at ISI, Kolkata has now turned out to be an internationally recognized leading research school producing many science leaders. These demonstrate his visionary leadership. It is during Pal's directorship of ISI (2005-2010), when the birthday of Prof. P.C. Mahalanobis, the founder of ISI, was declared by the Prime Minister of India on 24 Dec 2006, as the “National Statistics Day” to be celebrated every year over the country. Further, establishing the ISI-Chennai Center, approving the ISI-North Eastern Center, and replacing UGC-pay scales by higher IISc-pay scales for faculty at ISI, are some other major achievements under his visionary leadership as Director of ISI. Biennial International Conference on Pattern Recognition and Machine Intelligence (PReMI), started in 2005, is his another brainchild. This facilitates regular interaction among Indian researchers with international experts in AI, ML and related areas for advancing science & technology. All these activities, including foundation of MIU & CSCR and visionary leadership as ISI-Director, have long lasting educational and societal impact. SK Pal has graduated officially 22 PhD students, so far, in India and abroad. It is not the number, but the quality which was his only concern. Many of his PhDs are now internationally known leading scientists with recognitions like Fellows of IEEE, TWAS, IFSA, INSA, INAE, J.C. Bose National Fellow, Padma Shri, S.S. Bhatnagar awardee, P.C. Mahalanobis National Award of the Ministry of Statistics and Program Implementation (MOSPI), Govt. of India, Editor-in-Chief of IEEE Transaction, Vice-President of Multinational IT Company, and Directors of premier national Institutes. Donations to Alma-maters and Instituting Medals/Fellowships to benefit the science & society: Besides his academic and research contributions, Pal has instituted the following awards in his alma-maters, starting from school education. These are aimed at nurturing the talent and scientific spirit as well as to help the students from less priviledged community, which in turn benefits the society: i) Two Merit-cum-Means Scholarships in 2013 for supporting two economically backward students of Classes IX and X every year in his alma-mater, Ariadaha Kalachand High School, Kolkata 700057, India. This facilitates them to complete their secondary school education. ii) A Gold Medal Award at Ramakrishna Mission Vivekanda Centenary College, Rahara, Kolkata 700118, India in 2024 for the Best Graduating BSc(Hons) Student across all science disciplines (currently seven) to nurture bright science-minds for higher studies. iii) A Gold Medal Award at Indian Statistical Institute (ISI), Kolkata 700108 in 2003 for the Best M.Tech.(Computer Science) Dissertation to encourage and promote research excellence. iv) Besides, he has been donating frequently to the Student Assistant Fund of Imperial College of Science & Technology, London, UK, his another Alma-mater, to help students who face hardship to complete their study Patriotism: NASA Johnson Space Center, Houston, TX, USA, desired to offer him a ""Green card"" in 1991 requesting to stay permanently in the USA when he was working there as a National Research Council (US National Academy of Sciences) Guest Investigator (Resident Research Associate). But he turned down the offer and returned back to India to serve his country for ever. Family: Sunity Kumar Pal (father), Parul Bala Pal (mother), Amita (wife), Dhiman & Anshuman (sons). He is the second child of his parents with brother: Samir, and sisters: Anuradha, Anurupa and Sutapa. He came from a very ordinary family with a low-income group and many members. He thereforte knows the kind of hurdles and hardship one has to face to complete the higher studies and reach the position where he is today. Message: It is not only the height at which you are flying is important, but  from which lower height you had taken off should also be of equal (if not more) concern.",0
Pandya,6,Education information not found,0
Papadimitriou,2,"Papadimitriou studied at the National Technical University of Athens, where in 1972 he received his Bachelor of Arts degree in electrical engineering. He then pursued graduate studies at Princeton University, where he received his Ph.D. in electrical engineering and computer science in 1976 after completing a doctoral dissertation titled ""The complexity of combinatorial optimization problems.""[9]",0
Park,0,Education information not found,173
Parnas,0,Education information not found,0
Patil,0,"Patil attended Kennedy Middle School, Monta Vista High School and De Anza College, all in Cupertino, California.[9][10] While at Kennedy, he participated in a student exchange program, visiting Toyokawa, Cupertino's sister city in Japan, in 1988. In high school, he often got into trouble and graduated in 1992 near the bottom of his class. He followed his girlfriend to De Anza Community College, which he attended for one year.[11][12] He earned a B.A. in mathematics from Earl Warren College[13] at University of California, San Diego. He received a PhD in applied mathematics from the University of Maryland College of Computer, Mathematical, and Natural Sciences. While a faculty member at University of Maryland College Park, he used open datasets published by NOAA to improve numerical weather forecasting.",0
Patt,6,Education information not found,0
Patterson,0,Education information not found,5
Paterson,0,Education information not found,150
Pătraşcu,0,Education information not found,0
Paulson,0,"Paulson graduated from the California Institute of Technology in 1977,[10] and obtained his PhD in Computer Science from Stanford University in 1981 for research on programming languages and compiler-compilers supervised by John L. Hennessy.[3][11]",0
Pausch,6,Education information not found,81
Pavón,2,"Pavón belongs to the first Spanish generation to get official studies in Computer Science, during the 1980s.[11] He studied Computer Science at the Technical University of Madrid, graduating in 1985. In 1988, he obtained his PhD in this area with the thesis: ""Synthesis of communication protocols from service specifications"".[12] While doing this thesis, he worked as assistant professor at the same university. After his PhD, he joined Alcatel-Lucent R&D team, where he worked for 10 years. At the end of 1997 he got an Associate Professor position at UCM, and in 2006, he achieved the Habilitation à diriger des recherches qualification in Computer Science at the Université Pierre et Marie Curie (Paris VI) with the thesis ""INGENIAS : Développement Dirigé par Modèles des Systèmes Multi-Agents"" (in French).[13][11][14] He joined the Alcatel R&D department as a systems engineer. There, he worked on the development of software component-based architectures for distributed systems, and its applications for multimedia services over broadband networks and new generation mobile phones. During the 10 years he worked for the company, he spent periods in Alcatel centers outside Spain, such as France (Lannion and Vélizy) and Belgium (Namur and Antwerp).[11] In this period, he worked several years in the labs of Bellcore in Red Bank, New Jersey (USA),[14] working in the TINA-C Core Team, and helping to produce architectural models for telecommunication services. As a result, he published several popular works.[15][16] He then returned to the academic world, as an Associate Professor at the Computer Science School of the Complutense University of Madrid (1997). By then, he researched Multi-Agent Systems within the Eurescom project P815 ""Communications Management Process Integration Using Software Agents"" (1999) working with Telefónica R+D.[17] His work in several projects combines software engineering practices and MAS. In the Eurescom P907 ""Methodology for Engineering Systems of Software Agents"", he co-created the MESSAGE methodology, currently part of the main FIPA[18] software agent methodologies.[19][11] In 2000 he established the research group GRASIA[2] for the research in Software Agents and Artificial Intelligence in the Complutense University of Madrid.[2] He also held several management positions in the university, serving as Vice Dean for four years (1998–2002).[20] Nowadays, he is full professor at the Universidad Complutense Madrid.",148
Pearl,43,Education information not found,309
Perlis,2,Education information not found,0
Perlman,11,"As an undergraduate at MIT Perlman learned programming for a physics class. She was given her first paid job in 1971 as part-time programmer for the LOGO Lab at the (then) MIT Artificial Intelligence Laboratory, programming system software such as debuggers. [14] Working under the supervision of Seymour Papert, she developed a child-friendly version of the educational robotics language LOGO, called TORTIS (""Toddler's Own Recursive Turtle Interpreter System""). During research performed in 1974–76, young children—the youngest aged 3½ years, programmed a LOGO educational robot called a Turtle. Perlman has been described as a pioneer of teaching young children computer programming.[15] Afterwards, she was inspired to make a new programming language that would teach much younger children similar to Logo, but using special ""keyboards"" and input devices. This project was abandoned because ""being the only woman around, I wanted to be taken seriously as a 'scientist' and was a little embarrassed that my project involved cute little kids"". MIT media project later tracked her down and told her that she started a new field called tangible user interface from the leftovers of her abandoned project. [16] As a math grad at MIT she needed to find an adviser for her thesis, and joined the MIT group at BBN Technologies. There she first got involved with designing network protocols.[17] Perlman obtained a B.S. and M.S. in Mathematics and a Ph.D. in Computer Science from MIT in 1988.[18]  Her doctoral thesis on routing in environments where malicious network failures are present serves as the basis for much of the work that now exists in this area. [2] When studying at MIT in the late 60s she was one among the 50 or so women students, in a class of about 1,000 students. To begin with MIT only had one women’s dorm, limiting the number of women students that could study. When the men’s dorms at MIT became coed Perlman moved out of the women’s dorm into a mixed dorm, where she became the ""resident female"". She later said that she was so used to the gender imbalance, that it became normal. Only when she saw other women students among a crowd of men she noticed that ""it kind of looked weird"".[19]",0
Perotto,0,Education information not found,1
